1 | ALFKI | Alfreds Futterkiste | Maria Anders | Sales Representative | Berlin |  | 12209 | Germany | 030-0074321 | 030-0076545                                                                                                                                                                                                                                                                                                                                                                                     
45 | LETSS | Let's Stop N Shop | Jaime Yorres | Owner | San Francisco | CA | 94117 | USA | (415) 555-5938 |                                                                                                                                                                                                                                                                                                                                                                                                         
46 | LILAS | LILA-Supermercado | Carlos Gonzalez | Accounting Manager | Barquisimeto | Lara | 3508 | Venezuela | (9) 331-6954 | (9) 331-7256                                                                                                                                                                                                                                                                                                                                                                        
47 | LINOD | LINO-Delicateses | Felipe Izquierdo | Owner | I. de Margarita | Nueva Esparta | 4980 | Venezuela | (8) 34-56-12 | (8) 34-93-93                                                                                                                                                                                                                                                                                                                                                                         
48 | LONEP | Lonesome Pine Restaurant | Fran Wilson | Sales Manager | Portland | OR | 97219 | USA | (503) 555-9573 | (503) 555-9646                                                                                                                                                                                                                                                                                                                                                                                 
49 | MAGAA | Magazzini Alimentari Riuniti | Giovanni Rovelli | Marketing Manager | Bergamo |  | 24100 | Italy | 035-640230 | 035-640231                                                                                                                                                                                                                                                                                                                                                                             
50 | MAISD | Maison Dewey | Catherine Dewey | Sales Agent | Bruxelles |  | B-1180 | Belgium | (02) 201 24 67 | (02) 201 24 68                                                                                                                                                                                                                                                                                                                                                                                       
51 | MEREP | Mere Paillarde | Jean Fresniore | Marketing Assistant | Montreal | Quebec | H1J 1C3 | Canada | (514) 555-8054 | (514) 555-8055                                                                                                                                                                                                                                                                                                                                                                         
52 | MORGK | Morgenstern Gesundkost | Alexander Feuer | Marketing Assistant | Leipzig |  | 04179 | Germany | 0342-023176 |                                                                                                                                                                                                                                                                                                                                                                                          
53 | NORTS | North/South | Simon Crowther | Sales Associate | London |  | SW7 1RZ | UK | (171) 555-7733 | (171) 555-2530                                                                                                                                                                                                                                                                                                                                                                                            
54 | OCEAN | Oceano Atlantico Ltda. | Yvonne Moncada | Sales Agent | Buenos Aires |  | 1010 | Argentina | (1) 135-5333 | (1) 135-5535                                                                                                                                                                                                                                                                                                                                                                               
55 | OLDWO | Old World Delicatessen | Rene Phillips | Sales Representative | Anchorage | AK | 99508 | USA | (907) 555-7584 | (907) 555-2880                                                                                                                                                                                                                                                                                                                                                                         
56 | OTTIK | Ottilies Koseladen | Henriette Pfalzheim | Owner | Koln |  | 50739 | Germany | 0221-0644327 | 0221-0765721                                                                                                                                                                                                                                                                                                                                                                                             
57 | PARIS | Paris specialites | Marie Bertrand | Owner | Paris |  | 75012 | France | (1) 42.34.22.66 | (1) 42.34.22.77                                                                                                                                                                                                                                                                                                                                                                                             
58 | PERIC | Pericles Comidas clasicas | Guillermo Fernandez | Sales Representative | Mexico D.F. |  | 05033 | Mexico | (5) 552-3745 | (5) 545-3745                                                                                                                                                                                                                                                                                                                                                                 
59 | PICCO | Piccolo und mehr | Georg Pipps | Sales Manager | Salzburg |  | 5020 | Austria | 6562-9722 | 6562-9723                                                                                                                                                                                                                                                                                                                                                                                                  
60 | PRINI | Princesa Isabel Vinhos | Isabel de Castro | Sales Representative | Lisboa |  | 1756 | Portugal | (1) 356-5634 |                                                                                                                                                                                                                                                                                                                                                                                        
61 | QUEDE | Que Delicia | Bernardo Batista | Accounting Manager | Rio de Janeiro | RJ | 02389-673 | Brazil | (21) 555-4252 | (21) 555-4545                                                                                                                                                                                                                                                                                                                                                                         
62 | QUEEN | Queen Cozinha | Lucia Carvalho | Marketing Assistant | Sao Paulo | SP | 05487-020 | Brazil | (11) 555-1189 |                                                                                                                                                                                                                                                                                                                                                                                           
63 | QUICK | QUICK-Stop | Horst Kloss | Accounting Manager | Cunewalde |  | 01307 | Germany | 0372-035188 |                                                                                                                                                                                                                                                                                                                                                                                                         
64 | RANCH | Rancho grande | Sergio Gutierrez | Sales Representative | Buenos Aires |  | 1010 | Argentina | (1) 123-5555 | (1) 123-5556                                                                                                                                                                                                                                                                                                                                                                             
65 | RATTC | Rattlesnake Canyon Grocery | Paula Wilson | Assistant Sales Representative | Albuquerque | NM | 87110 | USA | (505) 555-5939 | (505) 555-3620                                                                                                                                                                                                                                                                                                                                                          
66 | REGGC | Reggiani Caseifici | Maurizio Moroni | Sales Associate | Reggio Emilia |  | 42100 | Italy | 0522-556721 | 0522-556722                                                                                                                                                                                                                                                                                                                                                                                  
67 | RICAR | Ricardo Adocicados | Janete Limeira | Assistant Sales Agent | Rio de Janeiro | RJ | 02389-890 | Brazil | (21) 555-3412 |                                                                                                                                                                                                                                                                                                                                                                               
68 | RICSU | Richter Supermarkt | Michael Holz | Sales Manager | Geneve |  | 1203 | Switzerland | 0897-034214 |                                                                                                                                                                                                                                                                                                                                                                                                     
69 | ROMEY | Romero y tomillo | Alejandra Camino | Accounting Manager | Madrid |  | 28001 | Spain | (91) 745 6200 | (91) 745 6210                                                                                                                                                                                                                                                                                                                                                                                   
70 | SANTG | Santi Gourmet | Jonas Bergulfsen | Owner | Stavern |  | 4110 | Norway | 07-98 92 35 | 07-98 92 47                                                                                                                                                                                                                                                                                                                                                                                                      
71 | SAVEA | Save-a-lot Markets | Jose Pavarotti | Sales Representative | Boise | ID | 83720 | USA | (208) 555-8097 |                                                                                                                                                                                                                                                                                                                                                                                               
72 | SEVES | Seven Seas Imports | Hari Kumar | Sales Manager | London |  | OX15 4NB | UK | (171) 555-1717 | (171) 555-5646                                                                                                                                                                                                                                                                                                                                                                                          
73 | SIMOB | Simons bistro | Jytte Petersen | Owner | Kobenhavn |  | 1734 | Denmark | 31 12 34 56 | 31 13 35 57                                                                                                                                                                                                                                                                                                                                                                                                     
74 | SPECD | Specialites du monde | Dominique Perrier | Marketing Manager | Paris |  | 75016 | France | (1) 47.55.60.10 | (1) 47.55.60.20                                                                                                                                                                                                                                                                                                                                                                           
75 | SPLIR | Split Rail Beer & Ale | Art Braunschweiger | Sales Manager | Lander | WY | 82520 | USA | (307) 555-4680 | (307) 555-6525                                                                                                                                                                                                                                                                                                                                                                               
76 | SUPRD | Supremes delices | Pascale Cartrain | Accounting Manager | Charleroi |  | B-6000 | Belgium | (071) 23 67 22 20 | (071) 23 67 22 21                                                                                                                                                                                                                                                                                                                                                                     
77 | THEBI | The Big Cheese | Liz Nixon | Marketing Manager | Portland | OR | 97201 | USA | (503) 555-3612 |                                                                                                                                                                                                                                                                                                                                                                                                        
78 | THECR | The Cracker Box | Liu Wong | Marketing Assistant | Butte | MT | 59801 | USA | (406) 555-5834 | (406) 555-8083                                                                                                                                                                                                                                                                                                                                                                                          
79 | TOMSP | Toms Spezialititen | Karin Josephs | Marketing Manager | Munster |  | 44087 | Germany | 0251-031259 | 0251-035695                                                                                                                                                                                                                                                                                                                                                                                      
80 | TORTU | Tortuga Restaurante | Miguel Angel Paolino | Owner | Mexico D.F. |  | 05033 | Mexico | (5) 555-2933 |                                                                                                                                                                                                                                                                                                                                                                                                  
81 | TRADH | Tradicio Hipermercados | Anabela Domingues | Sales Representative | Sao Paulo | SP | 05634-030 | Brazil | (11) 555-2167 | (11) 555-2168                                                                                                                                                                                                                                                                                                                                                                
82 | TRAIH | Trail's Head Gourmet Provisioners | Helvetius Nagy | Sales Associate | Kirkland | WA | 98034 | USA | (206) 555-8257 | (206) 555-2174                                                                                                                                                                                                                                                                                                                                                                   
83 | VAFFE | Vaffeljernet | Palle Ibsen | Sales Manager | Arhus |  | 8200 | Denmark | 86 21 32 43 | 86 22 33 44                                                                                                                                                                                                                                                                                                                                                                                                     
84 | VICTE | Victuailles en stock | Mary Saveley | Sales Agent | Lyon |  | 69004 | France | 78.32.54.86 | 78.32.54.87                                                                                                                                                                                                                                                                                                                                                                                               
85 | VINET | Vins et alcools Chevalier | Paul Henriot | Accounting Manager | Reims |  | 51100 | France | 26.47.15.10 | 26.47.15.11                                                                                                                                                                                                                                                                                                                                                                                  
86 | WANDK | Die Wandernde Kuh | Rita Muller | Sales Representative | Stuttgart |  | 70563 | Germany | 0711-020361 | 0711-035428                                                                                                                                                                                                                                                                                                                                                                                    
87 | WARTH | Wartian Herkku | Pirkko Koskitalo | Accounting Manager | Oulu |  | 90110 | Finland | 981-443655 | 981-443655                                                                                                                                                                                                                                                                                                                                                                                           
88 | WELLI | Wellington Importadora | Paula Parente | Sales Manager | Resende | SP | 08737-363 | Brazil | (14) 555-8122 |                                                                                                                                                                                                                                                                                                                                                                                           
89 | WHITC | White Clover Markets | Karl Jablonski | Owner | Seattle | WA | 98128 | USA | (206) 555-4112 | (206) 555-4115                                                                                                                                                                                                                                                                                                                                                                                           
90 | WILMK | Wilman Kala | Matti Karttunen | Owner/Marketing Assistant | Helsinki |  | 21240 | Finland | 90-224 8858 | 90-224 8858                                                                                                                                                                                                                                                                                                                                                                                 
91 | WOLZA | Wolski  Zajazd | Zbyszek Piestrzeniewicz | Owner | Warszawa |  | 01-012 | Poland | (26) 642-7012 | (26) 642-7012                                                                                                                                                                                                                                                                                                        
